0.-87
1.-145
2.-144,582
3.-144,582
4.-144,582
5.-144,582
6.-144,582
7.-144,582
8.-144,582
9.-144,582
10.-144,582
11.-144,582
12.-144,582
13.-144,582
14.-144,582
15.-144,582
16.-144,582
17.-144,582
18.-57,96843
19.-57,96843
20.-57,96843
21.-57,96843
22.-57,96843
23.-57,96843
24.-57,96843
25.-57,96843
26.-57,96843
27.-57,96843
28.-57,96843
29.-57,96843
30.-57,96843
31.-57,96843
32.-57,96843
33.-57,96843
34.53,42728
35.53,42728
36.69,10188
37.76,867
38.84,99324
39.90,34512
40.98,24353
41.105,211
42.110,5848
43.116,4968
44.122,3501
45.126,5074
46.130,6978
47.133,0447
48.135,1585
49.137,3878
50.137,9943
51.137,561
52.135,8794
53.132,9983
54.130,068
55.124,6634
56.120,4563
57.114,0022
58.106,8305
59.100,9486
60.92,73041
61.86,15903
62.77,25632
63.68,36179
64.59,26346
65.51,33438
66.44,58228
67.35,37936
68.27,2149
69.21,10229
70.13,15566
71.6,826004
72.1,237099
73.-4,56514
74.-11,45226
75.-17,63497
76.-24,59548
77.-29,82724
78.-37,30256
79.-44,81158
80.-50,62548
81.-58,57575
82.-64,53888
83.-72,12531
84.-79,54705
85.-85,85673
86.-91,36626
87.-98,71171
88.-103,5466
89.-109,8805
90.-115,8408
91.-120,0558
92.-125,2431
93.-128,8234
94.-133,101
95.-135,9166
96.-139,496
97.-141,9874
98.-143,3882
99.-144,5732
100.-145
101.-144,7507
102.-143,574
103.-141,6488
104.-138,8222
105.-136,1071
106.-131,4731
107.-127,8847
108.-122,541
109.-116,777
110.-111,8367
111.-105,0361
112.-98,2194
113.-92,66531
114.-85,21241
115.-77,39827
116.-70,54795
117.-62,89896
118.-55,99483
119.-49,85522
120.-42,1619
121.-36,9453
122.-28,74126
123.-22,85261
124.-15,96967
125.-10,83414
126.-4,813431
127.2,609406
128.9,59481
129.15,06284
130.23,14606
131.31,05782
132.39,33588
133.45,8028
134.54,27223
135.62,8499
136.69,95401
137.76,39561
138.85,72974
139.91,63307
140.99,11584
141.106,2686
142.111,1186
143.117,1571
144.122,7215
145.126,2681
146.130,8513
147.133,3613
148.135,9148
149.137,505
150.137,9836
151.137,5333
152.135,7767
153.133,6758
154.129,6916
155.125,8307
156.119,7022
157.116,5348
158.106,9377
159.101,1974
160.93,009
161.84,06302
162.77,23566
163.68,25241
164.61,16849
165.51,27847
166.43,97156
167.35,89625
168.27,55594
169.19,56947
170.13,48546
171.6,422623
172.1,673447
173.-4,816002
174.-11,28094
175.-18,0304
176.-23,31201
177.-31,32451
178.-36,79341
179.-44,30522
180.-51,8696
181.-57,907
182.-65,45488
183.-71,17716
184.-78,67873
185.-85,90292
186.-91,1316
187.-98,74113
188.-103,6268
189.-108,8273
190.-115,0719
191.-120,7037
192.-124,404
193.-129,3441
194.-133,4311
195.-136,2762
196.-139,5135
197.-141,65
198.-143,5013
199.-144,6342
200.-144,9844
201.-144,6513
202.-143,3876
203.-142,0912
204.-138,7174
205.-135,5963
206.-132,275
207.-127,2781
208.-123,0133
209.-117,1312
210.-112,225
211.-105,2575
212.-98,04432
213.-92,41617
214.-85,06983
215.-79,01765
216.-71,15709
217.-65,16026
218.-56,49432
219.-48,80751
220.-42,83308
221.-35,43058
222.-27,95448
223.-22,51104
224.-15,65019
225.-9,277786
226.-4,195976
227.1,331924
228.9,600235
229.15,4938
230.23,19984
231.31,70624
232.37,75005
233.46,14728
234.54,38655
235.62,76334
236.69,27426
237.77,88782
238.84,81871
239.92,52408
240.98,22885
241.104,8267
242.111,4432
243.117,5432
244.122,7839
245.126,518
246.130,7769
247.133,5829
248.136,0832
249.137,451
250.137,9849
251.137,5127
252.136,2476
253.133,3468
254.129,3833
255.125,6515
256.119,9193
257.114,8686
258.106,7026
259.100,9346
260.92,59557
261.84,20102
262.77,60918
263.68,57608
264.59,15164
265.52,49506
266.43,41599
267.36,71722
268.26,85487
269.20,58401
270.12,99408
271.6,061111
272.1,342674
273.-4,850967
274.-11,33294
275.-13,12968
276.-13,12968
277.-13,12968
278.-37,07276
279.-43,92887
280.-51,40855
281.-58,98494
282.-64,66263
283.-72,21988
284.-79,4219
285.-85,2289
286.-92,50874
287.-97,59821
288.-104,5668
289.-109,2255
290.-114,2204
291.-120,8635
292.-123,806
293.-129,4319
294.-133,5865
295.-136,2961
296.-139,4436
297.-141,9441
298.-143,3268
299.-144,6402
300.-144,9865
301.-144,6755
302.-143,4482
303.-141,9264
304.-139,0554
305.-135,924
306.-131,7881
307.-128,0311
308.-122,6798
309.-117,5693
310.-111,1272
311.-106,036
312.-99,05179
313.-91,79288
314.-84,54761
315.-78,60672
316.-70,86208
317.-63,32101
318.-55,59177
319.-48,50135
320.-42,39384
321.-34,93325
322.-29,2628
323.-22,20338
324.-15,34026
325.-9,048737
326.-3,962212
327.3,068405
328.8,690887
329.16,66994
330.21,82283
331.31,74065
332.38,95604
333.45,6909
334.54,16278
335.62,80811
336.69,09621
337.77,70242
338.85,78378
339.92,34737
340.99,60036
341.105,0981
342.111,5598
343.117,7776
344.122,6225
345.126,3681
346.130,5433
347.133,8518
348.135,7509
349.137,4874
350.138
351.137,6273
352.135,9582
353.133,0725
354.130,2559
355.125,402
356.119,7779
357.116,6204
358.106,8131
359.100,7523
360.92,96208
361.84,27841
362.77,85374
363.68,71642
364.59,75989
365.52,92348
366.43,93488
367.34,87498
368.28,58662
369.20,64457
370.14,1275
371.6,286407
372.1,051476
373.-4,249542
374.-10,86807
375.-17,81744
376.-22,99158
377.-30,25819
378.-37,93211
379.-45,15485
380.-51,58342
381.-58,90358
382.-64,39153
383.-71,54831
384.-78,60213
385.-85,74294
386.-91,01231
387.-97,88322
388.-104,4916
389.-109,2691
390.-115,8631
391.-119,8697
392.-124,8296
393.-129,5221
394.-133,6792
395.-136,6091
396.-139,4301
397.-141,9141
398.-143,34
399.-144,5331
400.-144,9878
401.-144,653
402.-143,3763
403.-141,8155
404.-139,0645
405.-135,5668
406.-132,453
407.-127,8198
408.-122,4053
409.-117,85
410.-113,0176
411.-104,6685
412.-100,3408
413.-91,64743
414.-85,3277
415.-79,1896
416.-70,96198
417.-63,31927
418.-55,61091
419.-50,03716
420.-42,26178
421.-35,62222
422.-27,96796
423.-22,35637
424.-15,7285
425.-9,374664
426.-3,128418
427.2,026527
428.9,333374
429.15,45373
430.23,34178
431.30,29123
432.38,59688
433.47,02669
434.53,51926
435.61,8667
436.70,3161
437.76,61263
438.84,65109
439.92,17769
440.99,42963
441.105,6302
442.112,1868
443.116,7336
444.122,228
445.127,1503
446.130,243
447.133,4612
448.136,0866
449.137,3024
450.137,9872
451.137,6666
452.135,9924
453.133,7242
454.130,6013
455.127,8362
456.120,2982
457.114,0419
458.108,1318
459.100,789
460.92,42667
461.84,76485
462.76,2108
463.69,52832
464.60,60175
465.51,39478
466.42,5603
467.35,78432
468.27,3125
469.19,40038
470.13,58371
471.7,279068
472.0,7131042
473.-5,550964
474.-11,83171
475.-16,93941
476.-23,85869
477.-31,15356
478.-36,55197
479.-38,3772
480.-38,3772
481.-38,3772
482.-38,3772
483.-38,3772
484.-38,3772
485.-85,41658
486.-92,58804
487.-97,63873
488.-104,0199
489.-110,4525
490.-114,8312
491.-120,6555
492.-124,652
493.-129,4333
494.-132,7839
495.-136,7128
496.-139,177
497.-141,9984
498.-143,635
499.-144,6056
500.-144,9747
501.-144,6844
502.-143,4614
503.-141,9549
504.-139,1752
505.-135,6523
506.-132,0671
507.-127,4024
508.-122,2345
509.-116,5843
510.-111,6619
511.-104,87
512.-99,49385
513.-91,80331
514.-84,47057
515.-78,96361
516.-70,15182
517.-64,10639
518.-56,42374
519.-48,66696
520.-42,83881
521.-35,43682
522.-27,84941
523.-22,55365
524.-15,85045
525.-9,409653
526.-3,954681
527.3,106628
528.8,615295
529.16,51398
530.24,26188
531.30,49907
532.39,16854
533.45,69986
534.54,26335
535.62,93867
536.68,77261
537.76,69695
538.83,70624
539.92,48773
540.98,04414
541.105,1725
542.111,7697
543.116,3698
544.121,8958
545.126,6512
546.130,3255
547.131,2283
548.131,2283
549.131,2283
550.131,2283
551.137,6588
552.135,8715
553.133,6683
554.129,8001
555.124,9216
556.119,886
557.114,9369
558.107,8051
559.99,98236
560.93,78967
561.85,56308
562.76,30193
563.69,14963
564.60,00385
565.50,85112
566.42,73965
567.36,2815
568.27,64507
569.21,62121
570.15,50762
571.7,271637
572.0,8787384
573.-5,654015
574.-10,57461
575.-17,4822
576.-22,79056
577.-30,2431
578.-38,27105
579.-44,80487
580.-51,34641
581.-58,98312
582.-64,63817
583.-72,06923
584.-79,21568
585.-85,03796
586.-92,09844
587.-98,21864
588.-104,7923
589.-109,6713
590.-115,6304
591.-119,9772
592.-125,2248
593.-128,6974
594.-133,2013
595.-136,823
596.-139,1646
597.-141,4663
598.-143,4564
599.-144,5987
600.-144,9732
601.-144,7495
602.-143,5418
603.-141,5038
604.-139,3677
605.-135,9015
606.-131,7859
607.-127,6066
608.-122,4016
609.-118,0733
610.-111,8202
611.-105,2015
612.-98,17789
613.-92,77821
614.-85,05261
615.-77,32912
616.-71,59348
617.-64,62325
618.-56,13767
619.-49,94849
620.-43,20187
621.-34,88376
622.-29,13957
623.-21,63272
624.-15,056
625.-10,25322
626.-4,038322
627.1,927696
628.9,051132
629.16,5747
630.22,52985
631.30,66057
632.39,10269
633.47,43477
634.53,75073
635.62,47052
636.68,8197
637.78,12851
638.84,00073
639.92,21997
640.99,37006
641.104,7802
642.111,4155
643.117,5097
644.121,6902
645.126,4487
646.130,6807
647.133,2497
648.136,0821
649.137,2871
650.137,9878
651.137,4597
652.135,9507
653.133,2796
654.129,2706
655.125,6121
656.119,7035
657.113,254
658.107,0491
659.101,3318
660.94,01619
661.84,25275
662.76,69957
663.69,36606
664.60,34979
665.55,29863
666.42,79037
667.35,81516
668.28,35331
669.20,42572
670.13,25071
671.7,270752
672.1,291069
673.-4,920799
674.-11,50371
675.-16,47588
676.-23,94973
677.-30,95567
678.-37,42505
679.-44,88688
680.-50,50461
681.-58,44803
682.-65,96986
683.-67,88941
684.-67,88941
685.-67,88941
686.-90,71148
687.-97,73146
688.-103,7042
689.-110,2236
690.-114,768
691.-120,2124
692.-125,6004
693.-129,1534
694.-133,4912
695.-136,2339
696.-139,4315
697.-141,4512
698.-143,6451
699.-144,4906
700.-144,9898
701.-144,582
702.-143,5323
703.-141,9365
704.-139,5084
705.-135,9055
706.-132,5872
707.-127,7367
708.-123,8199
709.-117,5037
710.-111,4141
711.-104,8145
712.-99,4951
713.-92,38512
714.-84,3714
715.-78,5266
716.-71,93451
717.-63,92718
718.-57,92244
719.-48,97271
720.-41,35442
721.-35,39838
722.-27,83705
723.-22,542
724.-15,88066
725.-9,39093
726.-3,197121
727.2,150505
728.9,211365
729.16,16547
730.24,29066
731.30,36449
732.38,99802
733.47,38136
734.53,7769
735.62,00616
736.70,58292
737.76,87738
738.85,05908
739.91,59518
740.99,13052
741.106,2159
742.111,6909
743.117,0363
744.122,5209
745.126,3996
746.130,4718
747.133,8941
748.135,8057
749.137,3156
750.137,9947
751.137,453
752.136,1186
753.133,327
754.129,2925
755.125,275
756.120,262
757.113,7711
758.107,9512
759.106,1638
760.106,1638
761.106,1638
762.79,38045
763.68,7202
764.59,58153
765.52,41449
766.43,78719
767.35,14354
768.28,85593
769.20,53561
770.12,8634
771.7,473969
772.2,459137
773.-4,763771
774.-11,25334
775.-16,6364
776.-23,87948
777.-31,22213
778.-36,92985
779.-44,45485
780.-52,1196
781.-57,54618
782.-61,68598
783.-72,18697
784.-78,79996
785.-84,53207
786.-92,27307
787.-97,33843
788.-103,6577
789.-109,9049
790.-115,8513
791.-119,9327
792.-125,272
793.-129,4313
794.-133,613
795.-136,3634
796.-139,5098
797.-141,9497
798.-143,4236
799.-144,5914
800.-144,9998
801.-144,7523
802.-143,5798
803.-141,841
804.-138,9444
805.-135,4151
806.-131,5345
807.-128,4188
808.-122,1383
809.-116,8779
810.-112,0837
811.-105,5368
812.-98,44537
813.-91,66897
814.-85,87312
815.-78,4599
816.-70,60575
817.-62,8224
818.-57,02509
819.-48,89515
820.-46,90505
821.-46,90505
822.-46,90505
823.-46,90505
824.-15,50648
825.-9,994385
826.-4,843651
827.2,732117
828.9,978973
829.15,87846
830.23,6617
831.29,82523
832.38,18161
833.46,53326
834.54,51161
835.63,06905
836.69,33801
837.77,65161
838.85,77719
839.92,11526
840.99,73752
841.105,0387
842.111,6934
843.117,671
844.122,3735
845.126,0602
846.130,3262
847.133,6748
848.136,1069
849.137,3614
850.137,9958
851.137,6707
852.136,0705
853.133,2482
854.129,8427
855.125,0647
856.120,8171
857.114,5887
858.107,5013
859.99,55267
860.92,59171
861.86,19719
862.77,39029
863.68,23001
864.61,29849
865.53,01384
866.43,48495
867.37,30491
868.26,8073
869.20,13569
870.14,07748
871.6,8172
872.0,4728165
873.-5,694221
874.-10,6496
875.-16,75173
876.-23,98154
877.-31,10368
878.-38,30436
879.-44,08848
880.-51,57615
881.-57,35724
882.-62,8359
883.-71,70902
884.-78,46613
885.-85,37103
886.-91,57029
887.-98,29262
888.-99,85587
889.-99,85587
890.-99,85587
891.-99,85587
892.-99,85587
893.-99,85587
894.-99,85587
895.-99,85587
896.-99,85587
897.-99,85587
898.-99,85587
899.-99,85587
900.-99,85587
901.-99,85587
902.-99,85587
903.-99,85587
904.-139,1991
905.-136,1016
906.-132,0996
907.-127,289
908.-123,8652
909.-117,9788
910.-112,0639
911.-105,7626
912.-98,88164
913.-91,67158
914.-84,61794
915.-78,9687
916.-71,85365
917.-64,74604
918.-57,38908
919.-50,15324
920.-41,7979
921.-34,91194
922.-28,18309
923.-22,02309
924.-15,7175
925.-10,58269
926.-4,802406
927.3,256546
928.8,131378
929.15,79098
930.22,98479
931.31,20403
932.37,67366
933.45,23898
934.54,44881
935.61,99872
936.70,83453
937.77,42239
938.85,8161
939.92,64471
940.98,43451
941.105,8705
942.111,0775
943.117,3352
944.122,033
945.126,8878
946.130,7426
947.133,7589
948.135,7725
949.137,5009
950.137,9909
951.137,6655
952.136,0956
953.133,1827
954.130,3147
955.129,1923
956.129,1923
957.114,5703
958.108,8355
959.101,6459
960.93,82367
961.85,79773
962.76,89413
963.68,03082
964.61,29608
965.52,17346
966.42,84692
967.34,4716
968.27,18104
969.19,38181
970.13,56946
971.6,603149
972.0,4213562
973.-4,405273
974.-10,7795
975.-17,68893
976.-24,75197
977.-30,1227
978.-36,65586
979.-44,11942
980.-50,66588
981.-58,01317
982.-64,23518
983.-71,49667
984.-78,74956
985.-84,8908
986.-91,29445
987.-98,31893
988.-103,8153
989.-109,9391
990.-115,762
991.-119,8678
992.-124,8188
993.-129,5093
994.-133,5233
995.-136,2283
996.-139,3546
997.-141,784
998.-143,3748
999.-144,5588
